,ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
54,ABR,"Arbor Realty Trust, Inc.",stocks,us,XNYS,CS,True,usd,0001253986,BBG000KMVDV1,BBG001SJP3G4,2022-12-15T00:00:00Z
55,ABRpD,"Arbor Realty Trust, Inc. 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share",stocks,us,XNYS,PFD,True,usd,0001253986,,,2022-12-15T00:00:00Z
56,ABRpE,"Arbor Realty Trust, Inc. 6.25% Series E Cumulative Redeemable Preferred Stock",stocks,us,XNYS,PFD,True,usd,0001253986,,,2022-12-15T00:00:00Z
57,ABRpF,"Arbor Realty Trust, Inc. 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per share",stocks,us,XNYS,PFD,True,usd,0001253986,,,2022-12-15T00:00:00Z
58,ABSI,Absci Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0001672688,BBG011N54CJ8,BBG011N54DC3,2022-12-15T00:00:00Z
59,ABST,Absolute Software Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0001071058,BBG000CP4V61,BBG001SD56D5,2022-12-15T00:00:00Z
60,ABT,Abbott Laboratories,stocks,us,XNYS,CS,True,usd,0000001800,BBG000B9ZXB4,BBG001S5N9M6,2022-12-15T00:00:00Z
61,ABUS,Arbutus Biopharma Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0001447028,BBG000RR8V85,BBG001S6RSK0,2022-12-15T00:00:00Z
62,ABVC,"ABVC BioPharma, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001173313,BBG000Q844Z2,BBG001SMCS49,2022-12-15T00:00:00Z
63,AC,"Associated Capital Group, Inc.",stocks,us,XNYS,CS,True,usd,0001642122,BBG008NZ8QC0,BBG008NZ8QB1,2022-12-15T00:00:00Z
64,ACA,"Arcosa, Inc. Common Stock",stocks,us,XNYS,CS,True,usd,0001739445,BBG00JGMWFM9,BBG00JGMWGB9,2022-12-15T00:00:00Z
65,ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001893219,BBG013X0S7F3,BBG013X0S889,2022-12-15T00:00:00Z
66,ACABU,Atlantic Coastal Acquisition Corp. II Unit,stocks,us,XNAS,UNIT,True,usd,0001893219,BBG013X0RR42,BBG013X0RS04,2022-12-15T00:00:00Z
67,ACABW,Atlantic Coastal Acquisition Corp. II Warrant,stocks,us,XNAS,WARRANT,True,usd,0001893219,BBG0142NHSW2,,2022-12-15T00:00:00Z
68,ACAC,Acri Capital Acquisition Corporation Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001914023,BBG0160DYSM3,BBG0160DYTH7,2022-12-15T00:00:00Z
69,ACACU,Acri Capital Acquisition Corporation Unit,stocks,us,XNAS,UNIT,True,usd,0001914023,BBG0160DYNQ0,BBG0160DYNR9,2022-12-15T00:00:00Z
70,ACACW,Acri Capital Acquisition Corporation Warrant,stocks,us,XNAS,WARRANT,True,usd,0001914023,BBG0190WQ3Q5,,2022-12-15T00:00:00Z
71,ACAD,Acadia Pharmaceuticals Inc.,stocks,us,XNAS,CS,True,usd,0001070494,BBG000BHG9K0,BBG001SB06N3,2022-12-15T00:00:00Z
72,ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001836274,BBG00Z9FJV00,BBG00Z9FJVV6,2022-12-15T00:00:00Z
73,ACAHU,Atlantic Coastal Acquisition Corp. Unit,stocks,us,XNAS,UNIT,True,usd,0001836274,BBG00Z85ZCZ9,BBG00Z85ZDT4,2022-12-15T00:00:00Z
74,ACAHW,Atlantic Coastal Acquisition Corp. Warrant,stocks,us,XNAS,WARRANT,True,usd,0001836274,BBG00Z9GN314,,2022-12-15T00:00:00Z
75,ACAQ,Athena Consumer Acquisition Corp.,stocks,us,XNYS,CS,True,usd,0001869141,BBG011Y74LF6,BBG011Y74LG5,2022-12-15T00:00:00Z
